ID;Domain;Solution;Solution Abb;UC;Catégory;Item;Cash Out Type;Cash In Type;Cash Out;Cash In;ASU Min;ASU MAX;Deploy Price MIN;Deploy Price MAX;Paas;Mark Up
101;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 801 - 850 - PaaS;Opex;Recurring;150 228;199 803;801;850;NA#;NA#;150228;33%
102;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 851 - 900 - PaaS;Opex;Recurring;152 582;202 934;851;900;NA#;NA#;152582;33%
103;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 901 - 950 - PaaS;Opex;Recurring;162 426;216 027;901;950;NA#;NA#;162426;33%
104;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 951 - 1000 - PaaS;Opex;Recurring;164 780;219 157;951;1000;NA#;NA#;164780;33%
105;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1001 - 1050 - PaaS;Opex;Recurring;174 624;232 250;1001;1050;NA#;NA#;174624;33%
106;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1051 - 1100 - PaaS;Opex;Recurring;176 978;235 381;1051;1100;NA#;NA#;176978;33%
107;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1101 - 1150 - PaaS;Opex;Recurring;197 522;262 704;1101;1150;NA#;NA#;197522;33%
108;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1151 - 1200 - PaaS;Opex;Recurring;199 876;265 835;1151;1200;NA#;NA#;199876;33%
109;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1201 - 1250 - PaaS;Opex;Recurring;209 720;278 928;1201;1250;NA#;NA#;209720;33%
110;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1251 - 1300 - PaaS;Opex;Recurring;212 074;282 058;1251;1300;NA#;NA#;212074;33%
111;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1301 - 1350 - PaaS;Opex;Recurring;221 918;295 151;1301;1350;NA#;NA#;221918;33%
